rank,question_id,db_id,difficulty,correct_tool,correct,total,accuracy,question
1,910,formula_1,simple,glot,206,208,99.04,What's the location coordinates of Silverstone Circuit?
2,912,formula_1,simple,glot,206,208,99.04,What's the reference name of Marina Bay Street Circuit?
3,704,codebase_community,simple,glot,204,208,98.08,What is the excerpt post ID and wiki post ID of the tag named sample?
4,779,superhero,simple,glot,204,208,98.08,How many powers does Amazo hero have?
5,745,superhero,simple,glot,203,208,97.6,Give the publisher ID of Star Trek.
6,806,superhero,simple,glot,203,208,97.6,Provide the eye colour of the superhero who has Karen Beecher-Duncan as their full name.
7,1346,student_club,simple,glot,203,208,97.6,"Tell the phone number of ""Carlo Jacobs""."
8,737,superhero,simple,glot,201,208,96.63,What is Copycat's race?
9,1357,student_club,simple,glot,201,208,96.63,State the date Connor Hilton paid his/her dues.
10,1380,student_club,simple,glot,201,208,96.63,What is the total amount of money spent for food?
11,379,card_games,simple,glot,200,208,96.15,What are the cards belong to duel deck a? List the ID.
12,822,superhero,moderate,glot,200,208,96.15,How many green-skinned villains are there in the superhero universe?
13,1352,student_club,moderate,glot,200,208,96.15,"For all the club members from ""Business"" major, how many of them wear medium size t-shirt?"
14,547,codebase_community,simple,glot,199,208,95.67,"Among the posts owned by an elder user, how many of them have a score of over 19?"
15,785,superhero,simple,glot,199,208,95.67,Describe the names of neutral alignment superheroes.
16,781,superhero,simple,glot,198,208,95.19,Provide the heights of the heroes whose eye colours are amber.
17,555,codebase_community,simple,glot,197,208,94.71,What is the average score of the posts owned by the user csgillespie?
18,824,superhero,moderate,glot,196,208,94.23,Identify superheroes who can control wind and list their names in alphabetical order.
19,733,superhero,moderate,glot,195,208,93.75,How many gold-eyed superheroes did Marvel Comics publish?
20,1344,student_club,simple,glot,195,208,93.75,What was the notes of the fundraising on 2019/9/14?
21,572,codebase_community,moderate,glot,194,208,93.27,How many views did the post titled 'Integration of Weka and/or RapidMiner into Informatica PowerCenter/Developer' get?
22,573,codebase_community,simple,glot,193,208,92.79,Write the contents of comments with a score of 17.
23,717,superhero,simple,glot,193,208,92.79,Please list all the superpowers of 3-D Man.
24,739,superhero,moderate,glot,193,208,92.79,What are the names of the superheroes with the power of death touch?
25,792,superhero,simple,glot,193,208,92.79,What is Abomination's superpower?
26,859,formula_1,simple,glot,193,208,92.79,What's Bruno Senna's Q1 result in the qualifying race No. 354?
27,1409,student_club,simple,glot,193,208,92.79,Mention the total expense used on 8/20/2019.
28,764,superhero,simple,glot,192,208,92.31,What are the superpowers of heroes with ID 1?
29,790,superhero,moderate,glot,191,208,91.83,Calculate the difference between Emil Blonsky's weight and Charles Chandler's weight.
30,705,codebase_community,simple,glot,190,208,91.35,"Give the user's reputation and up vote number of the user that commented ""fine, you win :)""."
31,825,superhero,moderate,glot,187,208,89.9,Identify the gender of the superhero who has the ability of Phoenix Force.
32,195,toxicology,simple,glot,186,208,89.42,What is the most common bond type?
33,782,superhero,moderate,glot,185,208,88.94,List the heroes' names whose eyes and hair colours are both black.
34,945,formula_1,simple,glot,185,208,88.94,"How many circuits are there in Adelaide, Australia?"
35,568,codebase_community,simple,glot,183,208,87.98,Provide the display name of the user who made the vote No.6347.
36,719,superhero,moderate,glot,183,208,87.98,"Among the superheroes with the super power of ""Super Strength"", how many of them have a height of over 200cm?"
37,1398,student_club,moderate,glot,183,208,87.98,Name the event with the highest amount spent on advertisement.
